"run_id","template_id","login_id","bracket_size","winner_book_id"
"191","7","user40","16","476"
"192","8","user40","16","838"
"193","2","user41","16","166"
"194","3","user41","16","277"
"195","4","user41","16","348"
"196","5","user41","16","493"
"197","6","user41","16","451"
"198","7","user41","16","476"
"199","1","user42","16","696"
"200","2","user42","16","166"
"201","3","user42","16","277"
"202","4","user42","16","348"
"203","1","user43","16","731"
"204","6","user43","16","129"
"205","7","user43","16","476"
"206","8","user43","16","838"
"207","3","user44","16","249"
"208","4","user44","16","320"
"209","5","user44","16","477"
"210","6","user44","16","43"
"211","7","user44","16","914"
"212","8","user44","16","838"
"213","1","user45","16","731"
"214","2","user45","16","3"
"215","3","user45","16","249"
"216","4","user45","16","320"
"217","5","user45","16","482"
"218","1","user46","16","522"
"219","2","user46","16","163"
"220","7","user46","16","438"
"221","8","user46","16","838"
"222","4","user47","16","370"
"223","5","user47","16","476"
"224","6","user47","16","129"
"225","7","user47","16","438"
"226","8","user47","16","137"
"227","1","user48","16","592"
"228","2","user48","16","229"
"229","3","user48","16","275"
"230","4","user48","16","348"
"231","5","user48","16","476"
"232","6","user48","16","859"
"233","1","user49","16","592"
"234","2","user49","16","166"
"235","3","user49","16","275"
"236","8","user49","16","975"
"237","5","user50","16","493"
"238","6","user50","16","129"
"239","7","user50","16","876"
"240","8","user50","16","975"
"241","2","user51","16","166"
"242","3","user51","16","303"
"243","4","user51","16","348"
"244","5","user51","16","493"
"245","6","user51","16","129"
"246","7","user51","16","876"
"247","1","user52","16","244"
"248","2","user52","16","229"
"249","3","user52","16","277"
"250","4","user52","16","348"
"251","1","user53","16","244"
"252","6","user53","16","902"
"253","7","user53","16","895"
"254","8","user53","16","154"
"255","3","user54","16","275"
"256","4","user54","16","346"
"257","5","user54","16","493"
"258","6","user54","16","86"
"259","7","user54","16","476"
"260","8","user54","16","308"
"261","1","user55","16","348"
"262","2","user55","16","229"
"263","3","user55","16","305"
"264","4","user55","16","346"
"265","5","user55","16","500"
"266","1","user56","16","522"
"267","2","user56","16","166"
"268","7","user56","16","419"
"269","8","user56","16","975"
"270","4","user57","16","320"
"271","5","user57","16","500"
"272","6","user57","16","773"
"273","7","user57","16","419"
"274","8","user57","16","137"
"275","1","user58","16","348"
"276","2","user58","16","228"
"277","3","user58","16","274"
"278","4","user58","16","320"
"279","5","user58","16","500"
"280","6","user58","16","129"
"281","1","user59","16","209"
"282","2","user59","16","228"
"283","3","user59","16","274"
"284","8","user59","16","308"
"285","5","user60","16","477"
"286","6","user60","16","816"
"287","7","user60","16","952"
"288","8","user60","16","838"
"289","2","user61","16","199"
"290","3","user61","16","305"
"291","4","user61","16","320"
"292","5","user61","16","477"
"293","6","user61","16","773"
"294","7","user61","16","952"
"295","1","user62","16","696"
"296","2","user62","16","199"
"297","3","user62","16","302"
"298","4","user62","16","373"
"299","1","user63","16","70"
"300","6","user63","16","86"
"301","7","user63","16","952"
"302","8","user63","16","838"
"303","3","user64","16","302"
"304","4","user64","16","397"
"305","5","user64","16","482"
"306","6","user64","16","129"
"307","7","user64","16","914"
"308","8","user64","16","838"
"309","1","user65","16","870"
"310","2","user65","16","164"
"311","3","user65","16","303"
"312","4","user65","16","397"
"313","5","user65","16","482"
"314","1","user66","16","696"
"315","2","user66","16","164"
"316","7","user66","16","952"
"317","8","user66","16","838"
"318","4","user67","16","397"
"319","5","user67","16","482"
"320","6","user67","16","730"
"321","7","user67","16","952"
"322","8","user67","16","838"
"323","1","user68","16","870"
"324","2","user68","16","231"
"325","3","user68","16","301"
"326","4","user68","16","397"
"327","5","user68","16","493"
"328","6","user68","16","129"
"329","1","user69","16","383"
"330","2","user69","16","166"
"331","3","user69","16","277"
"332","8","user69","16","838"
"333","5","user70","16","493"
"334","6","user70","16","451"
"335","7","user70","16","476"
"336","8","user70","16","462"
"337","2","user71","16","166"
"338","3","user71","16","277"
"339","4","user71","16","348"
"340","5","user71","16","482"
"341","6","user71","16","451"
"342","7","user71","16","476"
"343","1","user72","16","731"
"344","2","user72","16","166"
"345","3","user72","16","250"
"346","4","user72","16","348"
"347","1","user73","16","731"
"348","6","user73","16","43"
"349","7","user73","16","476"
"350","8","user73","16","838"
"351","3","user74","16","249"
"352","4","user74","16","320"
"353","5","user74","16","482"
"354","6","user74","16","451"
"355","7","user74","16","876"
"356","8","user74","16","975"
"357","1","user75","16","522"
"358","2","user75","16","163"
"359","3","user75","16","302"
"360","4","user75","16","348"
"361","5","user75","16","482"
"362","1","user76","16","592"
"363","2","user76","16","163"
"364","7","user76","16","438"
"365","8","user76","16","137"
"366","4","user77","16","348"
"367","5","user77","16","476"
"368","6","user77","16","129"
"369","7","user77","16","438"
"370","8","user77","16","154"
"371","1","user78","16","592"
"372","2","user78","16","166"
"373","3","user78","16","275"
"374","4","user78","16","348"
"375","5","user78","16","477"
"376","6","user78","16","215"
"377","1","user79","16","348"
"378","2","user79","16","166"
"379","3","user79","16","249"
"380","8","user79","16","975"
"381","5","user80","16","493"
"382","6","user80","16","129"
"383","7","user80","16","876"
"384","8","user80","16","992"
"385","2","user81","16","229"
"386","3","user81","16","277"
"387","4","user81","16","348"
"388","5","user81","16","493"
"389","6","user81","16","129"
"390","7","user81","16","876"
"391","1","user82","16","244"
"392","2","user82","16","229"
"393","3","user82","16","277"
"394","4","user82","16","348"
"395","1","user83","16","348"
"396","6","user83","16","86"
"397","7","user83","16","476"
"398","8","user83","16","308"
"399","3","user84","16","305"
"400","4","user84","16","346"
"401","5","user84","16","500"
"402","6","user84","16","773"
"403","7","user84","16","438"
"404","8","user84","16","154"
"405","1","user85","16","522"
"406","2","user85","16","166"
"407","3","user85","16","305"
"408","4","user85","16","320"
"409","5","user85","16","500"
"410","1","user86","16","348"
"411","2","user86","16","228"
"412","7","user86","16","419"
"413","8","user86","16","137"
"414","4","user87","16","320"
"415","5","user87","16","500"
"416","6","user87","16","129"
"417","7","user87","16","419"
"418","8","user87","16","308"
"419","1","user88","16","244"
"420","2","user88","16","228"
"421","3","user88","16","274"
"422","4","user88","16","320"
"423","5","user88","16","500"
"424","6","user88","16","537"
"425","1","user89","16","70"
"426","2","user89","16","199"
"427","3","user89","16","302"
"428","8","user89","16","838"
"429","5","user90","16","477"
"430","6","user90","16","773"
"431","7","user90","16","952"
"432","8","user90","16","838"
"433","2","user91","16","199"
"434","3","user91","16","302"
"435","4","user91","16","373"
"436","5","user91","16","477"
"437","6","user91","16","86"
"438","7","user91","16","952"
"439","1","user92","16","70"
"440","2","user92","16","199"
"441","3","user92","16","302"
"442","4","user92","16","346"
"443","1","user93","16","870"
"444","6","user93","16","129"
"445","7","user93","16","914"
"446","8","user93","16","838"
"447","3","user94","16","303"
"448","4","user94","16","397"
"449","5","user94","16","482"
"450","6","user94","16","408"
"451","7","user94","16","457"
"452","8","user94","16","838"
"453","1","user95","16","696"
"454","2","user95","16","164"
"455","3","user95","16","277"
"456","4","user95","16","397"
"457","5","user95","16","482"
"458","1","user96","16","696"
"459","2","user96","16","231"
"460","7","user96","16","952"
"461","8","user96","16","838"
"462","4","user97","16","397"
"463","5","user97","16","493"
"464","6","user97","16","129"
"465","7","user97","16","457"
"466","8","user97","16","838"
"467","1","user98","16","383"
"468","2","user98","16","166"
"469","3","user98","16","277"
"470","4","user98","16","348"
"471","5","user98","16","493"
"472","6","user98","16","129"
"473","1","user99","16","174"
"474","2","user99","16","166"
"475","3","user99","16","277"
"476","8","user99","16","462"
"477","5","user100","16","482"
"478","6","user100","16","451"
"479","7","user100","16","476"
"480","8","user100","16","154"
