"tier_list_id","book_id","tier_grade","sort_order"
"5","345","C","20"
"5","346","B","57"
"6","236","B","888"
"6","237","A","925"
"6","238","C","962"
"6","239","A","999"
"6","240","C","27"
"6","241","A","64"
"6","242","C","101"
"6","243","B","138"
"6","244","C","175"
"6","245","B","212"
"6","246","D","249"
"6","247","B","286"
"6","248","D","323"
"6","249","B","360"
"6","250","S","397"
"6","251","B","434"
"6","252","S","471"
"6","253","B","508"
"6","254","A","545"
"6","255","C","582"
"6","256","A","619"
"6","257","C","656"
"6","258","A","693"
"6","259","C","730"
"7","1","B","308"
"7","2","C","345"
"7","3","B","382"
"7","148","A","702"
"7","4","D","419"
"7","149","C","739"
"7","5","B","456"
"7","150","B","776"
"7","6","D","493"
"7","151","C","813"
"7","7","B","530"
"7","152","B","850"
"7","153","D","887"
"7","154","B","924"
"7","155","D","961"
"7","156","B","998"
"7","157","S","26"
"7","158","B","63"
"7","159","S","100"
"7","160","B","137"
"7","161","A","174"
"7","162","C","211"
"7","163","A","248"
"7","164","C","285"
"8","367","B","776"
"8","368","A","813"
"8","369","C","850"
"8","370","A","887"
"8","371","C","924"
"8","372","A","961"
"8","373","C","998"
"8","374","B","26"
"8","375","C","63"
"8","376","B","100"
"8","377","D","137"
"8","378","B","174"
"8","379","D","211"
"8","380","B","248"
"8","381","S","285"
"8","382","B","322"
"8","383","S","359"
"8","384","B","396"
"8","385","A","433"
"8","386","C","470"
"8","387","A","507"
"8","388","C","544"
"8","389","A","581"
"8","390","C","618"
"9","831","A","877"
"9","653","C","345"
"9","475","B","822"
"9","297","S","290"
"9","119","C","767"
"9","950","A","235"
"9","772","C","712"
"9","594","B","180"
"9","416","A","657"
"9","238","C","125"
"9","60","B","602"
"9","891","D","70"
"9","713","B","547"
"9","535","A","15"
"9","357","C","492"
"9","179","B","969"
"9","1","A","437"
"9","832","B","914"
"9","654","B","382"
"9","476","D","859"
"9","298","B","327"
"9","120","A","804"
"9","951","C","272"
"9","773","B","749"
"10","372","A","81"
"10","327","A","434"
"10","435","B","394"
"10","436","S","431"
"10","277","C","602"
"10","385","S","562"
"10","332","D","619"
"10","387","S","636"
"10","334","D","693"
"10","388","B","673"
"10","335","B","730"
"10","337","B","804"
"10","391","A","784"
"10","392","C","821"
"10","339","B","878"
"10","393","A","858"
"10","340","A","915"
"10","341","C","952"
"10","448","B","875"
"10","396","C","969"
"10","343","C","17"
"10","397","B","1006"
"10","345","C","91"
"10","346","B","128"
"11","1","C","293"
"11","2","A","330"
"11","3","C","367"
"11","4","B","404"
"11","5","C","441"
"11","6","B","478"
"11","7","D","515"
"12","1","B","379"
"12","2","C","416"
"12","3","B","453"
"12","148","A","773"
"12","4","D","490"
"12","149","C","810"
"12","5","B","527"
"12","150","A","847"
"12","6","D","564"
"12","151","C","884"
"12","7","B","601"
"12","152","B","921"
"12","153","C","958"
"12","154","B","995"
"12","155","D","23"
"12","156","B","60"
"12","157","D","97"
"12","158","B","134"
"12","159","S","171"
"12","160","B","208"
"12","161","A","245"
"12","162","B","282"
"12","163","A","319"
"12","164","C","356"
"13","367","B","847"
"13","368","A","884"
"13","369","B","921"
"13","370","A","958"
"13","371","C","995"
"13","372","A","23"
"13","373","C","60"
"13","374","A","97"
"13","375","C","134"
"13","376","B","171"
"13","377","C","208"
"13","378","B","245"
"13","379","D","282"
"13","380","B","319"
"13","381","S","356"
"13","382","B","393"
"13","383","S","430"
"13","384","B","467"
"13","385","A","504"
"13","386","C","541"
"13","387","A","578"
"13","388","C","615"
"13","389","A","652"
"13","390","C","689"
"14","831","S","948"
"14","653","C","416"
"14","475","B","893"
"14","297","S","361"
"14","119","C","838"
"14","950","A","306"
"14","772","C","783"
"14","594","B","251"
"14","416","A","728"
"14","238","C","196"
"14","60","B","673"
"14","891","C","141"
"14","713","B","618"
"14","535","A","86"
"14","357","C","563"
"14","179","B","31"
"14","1","A","508"
"14","832","B","985"
"14","654","A","453"
"14","476","D","930"
"14","298","B","398"
"14","120","A","875"
"14","951","C","343"
"14","773","B","820"
"15","372","A","152"
"15","327","A","505"
"15","435","B","465"
"15","436","S","502"
"15","277","C","673"
"15","385","D","633"
"15","332","D","690"
"15","387","S","707"
"15","334","D","764"
"15","388","B","744"
"15","335","B","801"
"15","337","B","875"
"15","391","A","855"
"15","392","C","892"
"15","339","B","949"
"15","393","A","929"
"15","340","A","986"
"15","341","C","14"
"15","448","B","946"
"15","396","C","31"
"15","343","C","88"
"15","397","B","68"
"15","345","C","162"
"15","346","B","199"
"16","1","C","364"
"16","2","A","401"
"16","3","C","438"
"16","4","A","475"
"16","5","C","512"
"16","6","B","549"
"16","7","C","586"
"17","1","A","450"
"17","2","C","487"
"17","3","B","524"
"17","148","A","844"
"17","4","C","561"
"17","149","C","881"
"17","5","B","598"
"17","150","A","918"
"17","6","D","635"
"17","151","C","955"
"17","7","B","672"
"17","152","B","992"
"17","153","C","20"
"17","154","B","57"
"17","155","D","94"
"17","156","B","131"
"17","157","D","168"
"17","158","B","205"
"17","159","S","242"
"17","160","B","279"
"17","161","S","316"
"17","162","B","353"
"17","163","A","390"
"17","164","C","427"
"18","367","B","918"
"18","368","S","955"
"18","369","B","992"
"18","370","A","20"
"18","371","C","57"
"18","372","A","94"
"18","373","C","131"
"18","374","A","168"
"18","375","C","205"
"18","376","B","242"
"18","377","C","279"
"18","378","B","316"
"18","379","D","353"
"18","380","B","390"
"18","381","D","427"
"18","382","B","464"
"18","383","S","501"
"18","384","B","538"
"18","385","S","575"
"18","386","B","612"
"18","387","A","649"
"18","388","C","686"
"18","389","A","723"
"18","390","C","760"
"19","831","S","10"
"19","653","C","487"
"19","475","B","964"
"19","297","S","432"
"19","119","C","909"
"19","950","A","377"
"19","772","C","854"
"19","594","B","322"
"19","416","A","799"
"19","238","C","267"
"19","60","B","744"
"19","891","C","212"
"19","713","B","689"
"19","535","A","157"
"19","357","C","634"
"19","179","B","102"
"19","1","A","579"
"19","832","B","47"
"19","654","A","524"
"19","476","D","1001"
"19","298","B","469"
"19","120","A","946"
"19","951","C","414"
"19","773","B","891"
"20","372","S","223"
"20","327","A","576"
"20","435","B","536"
"20","436","D","573"
"20","277","C","744"
"20","385","D","704"
"20","332","C","761"
"20","387","S","778"
"20","334","D","835"
"20","388","B","815"
"20","335","B","872"
"20","337","B","946"
"20","391","A","926"
"20","392","C","963"
"20","339","B","11"
"20","393","A","1000"
"20","340","A","48"
"20","341","B","85"
"20","448","B","8"
"20","396","C","102"
"20","343","C","159"
"20","397","B","139"
"20","345","C","233"
"20","346","A","270"
"21","615","A","176"
"21","584","C","38"
"21","585","A","75"
"21","591","B","297"
"21","592","D","334"
"21","593","B","371"
"21","596","S","482"
"21","597","B","519"
"21","598","A","556"
"21","599","C","593"
"21","600","A","630"
"21","602","A","704"
"21","605","C","815"
"21","606","B","852"
"21","607","D","889"
"21","608","B","926"
"21","609","D","963"
"21","610","B","1000"
"21","611","S","28"
"21","613","S","102"
"22","1","C","435"
"22","2","A","472"
"22","3","C","509"
"22","4","A","546"
"22","5","C","583"
"22","6","B","620"
"22","7","C","657"
"23","1","A","521"
"23","2","C","558"
"23","3","B","595"
"23","148","A","915"
"23","4","C","632"
"23","149","C","952"
"23","5","B","669"
"23","150","A","989"
"23","6","D","706"
"23","151","C","17"
"23","7","B","743"
"23","152","A","54"
"23","153","C","91"
"23","154","B","128"
"23","155","C","165"
"23","156","B","202"
"23","157","D","239"
"23","158","B","276"
"23","159","D","313"
"23","160","B","350"
"23","161","S","387"
"23","162","B","424"
"23","163","A","461"
"23","164","B","498"
"24","367","B","989"
"24","368","S","17"
"24","369","B","54"
"24","370","A","91"
"24","371","B","128"
"24","372","A","165"
"24","373","C","202"
"24","374","A","239"
"24","375","C","276"
"24","376","A","313"
"24","377","C","350"
"24","378","B","387"
"24","379","C","424"
"24","380","B","461"
"24","381","D","498"
"24","382","B","535"
"24","383","S","572"
"24","384","B","609"
"24","385","S","646"
"24","386","B","683"
"24","387","A","720"
"24","388","C","757"
"24","389","A","794"
"24","390","C","831"
"25","621","B","340"
"25","233","C","110"
"25","854","D","889"
"25","466","A","659"
"25","78","B","429"
"25","699","C","199"
"25","311","A","978"
"25","932","A","748"
"25","544","B","518"
"25","156","D","288"
"25","777","A","58"
"25","389","B","837"
"25","1","C","607"
"25","622","D","377"
"25","234","B","147"
"25","855","B","926"
"25","467","C","696"
"25","79","A","466"
"25","700","B","236"
"25","312","C","6"
"25","933","C","785"
"25","545","A","555"
"25","157","B","325"
"25","778","B","95"
"26","372","S","294"
"26","327","A","647"
"26","435","B","607"
"26","436","D","644"
"26","277","C","815"
"26","385","D","775"
"26","332","C","832"
"26","387","D","849"
"26","334","D","906"
"26","388","B","886"
"26","335","B","943"
"26","337","B","8"
"26","391","A","997"
"26","392","B","25"
"26","339","B","82"
"26","393","A","62"
"26","340","S","119"
"26","341","B","156"
"26","448","B","79"
"26","396","C","173"
"26","343","C","230"
"26","397","A","210"
"26","345","C","304"
"26","346","A","341"
"27","615","A","247"
"27","584","C","109"
"27","585","A","146"
"27","591","B","368"
"27","592","D","405"
"27","593","B","442"
"27","596","S","553"
"27","597","B","590"
"27","598","A","627"
"27","599","B","664"
"27","600","A","701"
"27","602","A","775"
"27","605","C","886"
"27","606","B","923"
"27","607","C","960"
"27","608","B","997"
"27","609","D","25"
"27","610","B","62"
"27","611","S","99"
"27","613","S","173"
"28","1","B","506"
"28","2","A","543"
"28","3","C","580"
"28","4","A","617"
"28","5","C","654"
"28","6","A","691"
"28","7","C","728"
"29","236","B","163"
"29","237","S","200"
"29","238","B","237"
"29","239","S","274"
"29","240","B","311"
"29","241","A","348"
"29","242","C","385"
"29","243","A","422"
"29","244","C","459"
"29","245","A","496"
"29","246","C","533"
"29","247","B","570"
"29","248","C","607"
"29","249","B","644"
"29","250","D","681"
"29","251","B","718"
"29","252","D","755"
"29","253","B","792"
"29","254","S","829"
"29","255","B","866"
"29","256","S","903"
"29","257","B","940"
"29","258","A","977"
"29","259","C","5"
"30","367","B","51"
"30","368","S","88"
"30","369","B","125"
"30","370","S","162"
"30","371","B","199"
"30","372","A","236"
"30","373","C","273"
"30","374","A","310"
"30","375","C","347"
"30","376","A","384"
"30","377","C","421"
"30","378","B","458"
"30","379","C","495"
"30","380","B","532"
"30","381","D","569"
"30","382","B","606"
"30","383","D","643"
"30","384","B","680"
"30","385","S","717"
"30","386","B","754"
"30","387","S","791"
"30","388","B","828"
"30","389","A","865"
"30","390","C","902"
"31","621","B","411"
"31","233","C","181"
"31","854","C","960"
"31","466","A","730"
"31","78","B","500"
"31","699","C","270"
"31","311","A","40"
"31","932","A","819"
"31","544","B","589"
"31","156","D","359"
"31","777","S","129"
"31","389","B","908"
"31","1","C","678"
"31","622","D","448"
"31","234","A","218"
"31","855","B","997"
"31","467","C","767"
"31","79","A","537"
"31","700","A","307"
"31","312","B","77"
"31","933","C","856"
"31","545","A","626"
"31","157","B","396"
"31","778","B","166"
"32","372","S","365"
"32","327","A","718"
"32","435","B","678"
"32","436","D","715"
"32","277","C","886"
"32","385","D","846"
"32","332","C","903"
"32","387","D","920"
"32","334","C","977"
"32","388","B","957"
"32","335","B","5"
"32","337","B","79"
"32","391","S","59"
"32","392","B","96"
"32","339","B","153"
"32","393","A","133"
"32","340","S","190"
"32","341","B","227"
"32","448","A","150"
"32","396","C","244"
"32","343","B","301"
"32","397","A","281"
"32","345","C","375"
"32","346","A","412"
"33","615","S","318"
"33","584","C","180"
"33","585","A","217"
"33","591","B","439"
"33","592","D","476"
"33","593","B","513"
"33","596","S","624"
"33","597","B","661"
"33","598","S","698"
"33","599","B","735"
"33","600","A","772"
"33","602","A","846"
"33","605","C","957"
"33","606","B","994"
"33","607","C","22"
"33","608","B","59"
"33","609","D","96"
"33","610","B","133"
"33","611","D","170"
"33","613","S","244"
"34","1","B","577"
"34","2","A","614"
"34","3","C","651"
"34","4","A","688"
"34","5","C","725"
"34","6","A","762"
"34","7","C","799"
"35","236","B","234"
"35","237","D","271"
"35","238","B","308"
"35","239","S","345"
"35","240","B","382"
"35","241","A","419"
"35","242","B","456"
"35","243","A","493"
"35","244","C","530"
"35","245","A","567"
"35","246","C","604"
"35","247","A","641"
"35","248","C","678"
"35","249","B","715"
"35","250","C","752"
"35","251","B","789"
"35","252","D","826"
"35","253","B","863"
"35","254","D","900"
"35","255","B","937"
"35","256","S","974"
"35","257","B","2"
"35","258","A","39"
"35","259","B","76"
"36","367","B","122"
"36","368","D","159"
"36","369","B","196"
"36","370","S","233"
"36","371","B","270"
"36","372","A","307"
"36","373","B","344"
"36","374","A","381"
"36","375","C","418"
"36","376","A","455"
"36","377","C","492"
"36","378","A","529"
"36","379","C","566"
"36","380","B","603"
"36","381","C","640"
"36","382","B","677"
"36","383","D","714"
"36","384","B","751"
"36","385","S","788"
"36","386","B","825"
"36","387","S","862"
"36","388","B","899"
"36","389","A","936"
"36","390","C","973"
"37","621","B","482"
"37","233","C","252"
"37","854","C","22"
"37","466","A","801"
"37","78","B","571"
"37","699","C","341"
"37","311","S","111"
"37","932","A","890"
"37","544","B","660"
"37","156","D","430"
"37","777","S","200"
"37","389","B","979"
"37","1","C","749"
"37","622","D","519"
"37","234","A","289"
"37","855","B","59"
"37","467","C","838"
"37","79","A","608"
"37","700","A","378"
"37","312","B","148"
"37","933","C","927"
"37","545","S","697"
"37","157","B","467"
"37","778","B","237"
"38","372","D","436"
"38","327","A","789"
"38","435","B","749"
"38","436","D","786"
"38","277","B","957"
"38","385","C","917"
"38","332","C","974"
"38","387","D","991"
"38","334","C","39"
"38","388","B","19"
"38","335","B","76"
"38","337","B","150"
"38","391","S","130"
"38","392","B","167"
"38","339","B","224"
"38","393","A","204"
"38","340","S","261"
"38","341","B","298"
"38","448","A","221"
"38","396","C","315"
"38","343","B","372"
"38","397","A","352"
"38","345","C","446"
"38","346","A","483"
"39","615","S","389"
"39","584","B","251"
"39","585","A","288"
"39","591","B","510"
"39","592","C","547"
"39","593","B","584"
"39","596","D","695"
"39","597","B","732"
"39","598","S","769"
"39","599","B","806"
"39","600","A","843"
"39","602","A","917"
"39","605","C","19"
"39","606","A","56"
"39","607","C","93"
"39","608","B","130"
"39","609","C","167"
"39","610","B","204"
"39","611","D","241"
"39","613","S","315"
"40","1","B","648"
"40","2","A","685"
"40","3","B","722"
"40","4","A","759"
"40","5","C","796"
"40","6","A","833"
"40","7","C","870"
"41","236","B","305"
"41","237","D","342"
"41","238","B","379"
"41","239","S","416"
"41","240","B","453"
"41","241","S","490"
"41","242","B","527"
"41","243","A","564"
"41","244","C","601"
"41","245","A","638"
"41","246","C","675"
"41","247","A","712"
"41","248","C","749"
"41","249","B","786"
"41","250","C","823"
"41","251","B","860"
"41","252","D","897"
"41","253","B","934"
"41","254","D","971"
"41","255","B","1008"
"41","256","S","36"
"41","257","B","73"
"41","258","S","110"
"41","259","B","147"
"42","367","B","193"
"42","368","D","230"
"42","369","B","267"
"42","370","S","304"
"42","371","B","341"
"42","372","S","378"
"42","373","B","415"
"42","374","A","452"
"42","375","C","489"
"42","376","A","526"
"42","377","C","563"
"42","378","A","600"
"42","379","C","637"
"42","380","B","674"
"42","381","C","711"
"42","382","B","748"
"42","383","D","785"
"42","384","B","822"
"42","385","D","859"
"42","386","B","896"
"42","387","S","933"
"42","388","B","970"
"42","389","S","1007"
"42","390","B","35"
"43","621","B","553"
"43","233","C","323"
"43","854","C","93"
"43","466","A","872"
"43","78","B","642"
"43","699","C","412"
"43","311","S","182"
"43","932","A","961"
"43","544","B","731"
"43","156","C","501"
"43","777","S","271"
"43","389","B","41"
"43","1","C","820"
"43","622","C","590"
"43","234","A","360"
"43","855","B","130"
"43","467","C","909"
"43","79","S","679"
"43","700","A","449"
"43","312","B","219"
"43","933","C","998"
"43","545","S","768"
"43","157","B","538"
"43","778","B","308"
"44","831","D","294"
"44","653","B","771"
"44","475","A","239"
"44","297","D","716"
"44","119","B","184"
"44","950","S","661"
"44","772","C","129"
"44","594","B","606"
"44","416","D","74"
"44","238","B","551"
"44","60","B","19"
"44","891","C","496"
"44","713","B","973"
"44","535","S","441"
"44","357","C","918"
"44","179","B","386"
"44","1","S","863"
"44","832","B","331"
"44","654","A","808"
"44","476","C","276"
"44","298","B","753"
"44","120","A","221"
"44","951","B","698"
"44","773","A","166"
"45","615","S","460"
"45","584","B","322"
"45","585","A","359"
"45","591","B","581"
"45","592","C","618"
"45","593","B","655"
"45","596","D","766"
"45","597","B","803"
"45","598","S","840"
"45","599","B","877"
"45","600","S","914"
"45","602","A","988"
"45","605","C","90"
"45","606","A","127"
"45","607","C","164"
"45","608","B","201"
"45","609","C","238"
"45","610","B","275"
"45","611","D","312"
"45","613","D","386"
"46","1","B","719"
"46","2","S","756"
"46","3","B","793"
"46","4","A","830"
"46","5","C","867"
"46","6","A","904"
"46","7","C","941"
"47","236","B","376"
"47","237","D","413"
"47","238","B","450"
"47","239","D","487"
"47","240","B","524"
"47","241","S","561"
"47","242","B","598"
"47","243","A","635"
"47","244","B","672"
"47","245","A","709"
"47","246","C","746"
"47","247","A","783"
"47","248","C","820"
"47","249","A","857"
"47","250","C","894"
"47","251","B","931"
"47","252","C","968"
"47","253","B","1005"
"47","254","D","33"
"47","255","B","70"
"47","256","D","107"
"47","257","B","144"
"47","258","S","181"
"47","259","B","218"
"48","1","A","805"
"48","2","C","842"
"48","3","A","879"
"48","148","S","190"
"48","4","C","916"
"48","149","B","227"
"48","5","A","953"
"48","150","A","264"
"48","6","C","990"
"48","151","B","301"
"48","7","B","18"
"48","152","A","338"
"48","153","C","375"
"48","154","A","412"
"48","155","C","449"
"48","156","A","486"
"48","157","C","523"
"48","158","B","560"
"48","159","C","597"
"48","160","B","634"
"48","161","D","671"
"48","162","B","708"
"48","163","D","745"
"48","164","B","782"
"49","621","B","624"
"49","233","C","394"
"49","854","C","164"
"49","466","A","943"
"49","78","B","713"
"49","699","C","483"
"49","311","S","253"
"49","932","A","23"
"49","544","B","802"
"49","156","C","572"
"49","777","D","342"
"49","389","B","112"
"49","1","C","891"
"49","622","C","661"
"49","234","A","431"
"49","855","B","201"
"49","467","C","980"
"49","79","S","750"
"49","700","A","520"
"49","312","B","290"
"49","933","C","60"
"49","545","S","839"
"49","157","B","609"
"49","778","B","379"
"50","831","D","365"
"50","653","B","842"
"50","475","A","310"
"50","297","C","787"
"50","119","B","255"
"50","950","D","732"
"50","772","B","200"
"50","594","A","677"
"50","416","D","145"
"50","238","B","622"
"50","60","A","90"
"50","891","C","567"
"50","713","B","35"
"50","535","S","512"
"50","357","C","989"
"50","179","B","457"
"50","1","S","934"
"50","832","B","402"
"50","654","S","879"
"50","476","C","347"
"50","298","B","824"
"50","120","S","292"
"50","951","B","769"
"50","773","A","237"
"51","615","S","531"
"51","584","B","393"
"51","585","A","430"
"51","591","A","652"
"51","592","C","689"
"51","593","B","726"
"51","596","D","837"
"51","597","B","874"
"51","598","D","911"
"51","599","B","948"
"51","600","S","985"
"51","602","A","50"
"51","605","C","161"
"51","606","A","198"
"51","607","C","235"
"51","608","A","272"
"51","609","C","309"
"51","610","B","346"
"51","611","C","383"
"51","613","D","457"
"52","236","B","447"
"52","237","C","484"
"52","238","B","521"
"52","239","D","558"
"52","240","B","595"
"52","241","S","632"
"52","242","B","669"
"52","243","S","706"
"52","244","B","743"
"52","245","A","780"
"52","246","C","817"
"52","247","A","854"
"52","248","C","891"
"52","249","A","928"
"52","250","C","965"
"52","251","B","1002"
"52","252","C","30"
"52","253","B","67"
"52","254","D","104"
"52","255","B","141"
"52","256","D","178"
"52","257","B","215"
"52","258","S","252"
"52","259","B","289"
"53","1","A","876"
"53","2","B","913"
"53","3","A","950"
"53","148","S","261"
"53","4","C","987"
"53","149","B","298"
"53","5","A","15"
"53","150","S","335"
"53","6","C","52"
"53","151","B","372"
"53","7","A","89"
"53","152","A","409"
"53","153","C","446"
"53","154","A","483"
"53","155","C","520"
"53","156","A","557"
"53","157","C","594"
"53","158","B","631"
"53","159","C","668"
"53","160","B","705"
"53","161","D","742"
"53","162","B","779"
"53","163","D","816"
"53","164","B","853"
"54","621","A","695"
"54","233","B","465"
"54","854","C","235"
"54","466","A","5"
"54","78","B","784"
"54","699","B","554"
"54","311","D","324"
"54","932","A","94"
"54","544","B","873"
"54","156","C","643"
"54","777","D","413"
"54","389","B","183"
"54","1","C","962"
"54","622","C","732"
"54","234","A","502"
"54","855","B","272"
"54","467","C","42"
"54","79","S","821"
"54","700","A","591"
"54","312","B","361"
"54","933","B","131"
"54","545","S","910"
"54","157","B","680"
"54","778","B","450"
"55","831","C","436"
"55","653","B","913"
"55","475","A","381"
"55","297","C","858"
"55","119","B","326"
"55","950","D","803"
"55","772","B","271"
"55","594","A","748"
"55","416","D","216"
"55","238","B","693"
"55","60","A","161"
"55","891","C","638"
"55","713","B","106"
"55","535","D","583"
"55","357","C","51"
"55","179","B","528"
"55","1","D","1005"
"55","832","B","473"
"55","654","S","950"
"55","476","C","418"
"55","298","B","895"
"55","120","S","363"
"55","951","B","840"
"55","773","A","308"
"56","615","D","602"
"56","584","B","464"
"56","585","S","501"
"56","591","A","723"
"56","592","C","760"
"56","593","B","797"
"56","596","D","908"
"56","597","B","945"
"56","598","D","982"
"56","599","B","10"
"56","600","S","47"
"56","602","S","121"
"56","605","C","232"
"56","606","A","269"
"56","607","C","306"
"56","608","A","343"
"56","609","C","380"
"56","610","B","417"
"56","611","C","454"
"56","613","D","528"
"57","236","B","518"
"57","237","C","555"
"57","238","B","592"
"57","239","D","629"
"57","240","B","666"
"57","241","D","703"
"57","242","B","740"
"57","243","S","777"
"57","244","B","814"
"57","245","A","851"
"57","246","B","888"
"57","247","A","925"
"57","248","C","962"
"57","249","A","999"
"57","250","C","27"
"57","251","A","64"
"57","252","C","101"
"57","253","B","138"
"57","254","C","175"
"57","255","B","212"
"57","256","D","249"
"57","257","B","286"
"57","258","D","323"
"57","259","B","360"
"58","1","S","947"
"58","2","B","984"
"58","3","A","12"
"58","148","D","332"
"58","4","C","49"
"58","149","B","369"
"58","5","A","86"
"58","150","S","406"
"58","6","C","123"
"58","151","B","443"
"58","7","A","160"
"58","152","A","480"
"58","153","B","517"
"58","154","A","554"
"58","155","C","591"
"58","156","A","628"
"58","157","C","665"
"58","158","A","702"
"58","159","C","739"
"58","160","B","776"
"58","161","C","813"
"58","162","B","850"
"58","163","D","887"
"58","164","B","924"
"59","621","A","766"
"59","233","B","536"
"59","854","C","306"
"59","466","A","76"
"59","78","B","855"
"59","699","B","625"
"59","311","D","395"
"59","932","S","165"
"59","544","B","944"
"59","156","C","714"
"59","777","D","484"
"59","389","A","254"
"59","1","C","24"
"59","622","C","803"
"59","234","A","573"
"59","855","A","343"
"59","467","B","113"
"59","79","D","892"
"59","700","A","662"
"59","312","B","432"
"59","933","B","202"
"59","545","D","981"
"59","157","B","751"
"59","778","B","521"
"60","831","C","507"
"60","653","B","984"
"60","475","A","452"
"60","297","C","929"
"60","119","B","397"
"60","950","D","874"
"60","772","B","342"
"60","594","A","819"
"60","416","C","287"
"60","238","B","764"
"60","60","A","232"
"60","891","B","709"
"60","713","B","177"
"60","535","D","654"
"60","357","B","122"
"60","179","A","599"
"60","1","D","67"
"60","832","B","544"
"60","654","S","12"
"60","476","C","489"
"60","298","B","966"
"60","120","S","434"
"60","951","B","911"
"60","773","A","379"
"61","372","C","720"
"61","327","S","64"
"61","435","A","24"
"61","436","C","61"
"61","277","B","232"
"61","385","C","192"
"61","332","C","249"
"61","387","C","266"
"61","334","C","323"
"61","388","B","303"
"61","335","A","360"
"61","337","B","434"
"61","391","D","414"
"61","392","B","451"
"61","339","B","508"
"61","393","D","488"
"61","340","D","545"
"61","341","B","582"
"61","448","A","505"
"61","396","B","599"
"61","343","B","656"
"61","397","A","636"
"61","345","B","730"
"61","346","S","767"
"62","236","B","589"
"62","237","C","626"
"62","238","B","663"
"62","239","C","700"
"62","240","B","737"
"62","241","D","774"
"62","242","B","811"
"62","243","S","848"
"62","244","B","885"
"62","245","S","922"
"62","246","B","959"
"62","247","A","996"
"62","248","C","24"
"62","249","A","61"
"62","250","C","98"
"62","251","A","135"
"62","252","C","172"
"62","253","B","209"
"62","254","C","246"
"62","255","B","283"
"62","256","D","320"
"62","257","B","357"
"62","258","D","394"
"62","259","B","431"
"63","1","S","9"
"63","2","B","46"
"63","3","A","83"
"63","148","D","403"
"63","4","B","120"
"63","149","B","440"
"63","5","A","157"
"63","150","S","477"
"63","6","C","194"
"63","151","B","514"
"63","7","A","231"
"63","152","S","551"
"63","153","B","588"
"63","154","A","625"
"63","155","C","662"
"63","156","A","699"
"63","157","C","736"
"63","158","A","773"
"63","159","C","810"
"63","160","B","847"
"63","161","C","884"
"63","162","B","921"
"63","163","D","958"
"63","164","B","995"
"64","367","B","477"
"64","368","C","514"
"64","369","B","551"
"64","370","D","588"
"64","371","B","625"
"64","372","D","662"
"64","373","B","699"
"64","374","S","736"
"64","375","B","773"
"64","376","S","810"
"64","377","B","847"
"64","378","A","884"
"64","379","C","921"
"64","380","A","958"
"64","381","C","995"
"64","382","A","23"
"64","383","C","60"
"64","384","B","97"
"64","385","C","134"
"64","386","B","171"
"64","387","D","208"
"64","388","B","245"
"64","389","D","282"
"64","390","B","319"
"65","831","C","578"
"65","653","B","46"
"65","475","A","523"
"65","297","C","1000"
